DAY,TEXT,TYPE,PERFORMANCE,TIME,SENDER,IMAGE_FOLDER,IMAGE,BUTTON_1_TEXT,BUTTON_2_TEXT,EVENT_FLAG
0,Do you have strong career goals?,dream,default,start,,,,My career is my passion!,I’m just looking for a paycheck.,
0,Do you want to be a part of a vibrant community?,dream,default,start,,,,I want to be a part of something!,People make me nervous.,
0,Do you want to make the world a safer place?,dream,default,start,,,,Where do I sign up?,No thanks.,
0,Introducing...,dream,default,start,,,,,,
0,"DataVille: a more human world
one click at a time.
",dream,default,start,,,,Let's get started.,,
0,"Alex T Manager @ DataVille
Subject: Orientation

Congratulations on your new position as:
Image Labeler / Annotator 

Dataville’s AI-driven detection technology is an industry leader in countering alien disguises and camouflage. We depend on the work of freelance labelers like you to stay one step ahead. Please treat this job with the seriousness and focus it deserves. Your work will directly impact detection algorithms for Dataville’s  important clients, including the US Departments of State and Defense.

We look forward to working with you. Utilize your natural instincts, perspective and humanity.

Happy labeling! 
-Alex T",message,default,start,supervisor,,,,,
0,Aliens among us!,news,default,start,,tv_content,kiss.png,,,
0,Gig economy expected to continue strong growth.,news,default,start,,tv_content,kiss.png,,,
0,Oldest woman alive turns 118.,news,default,start,,,,,,
0,Cleveland zoo welcomes birth of new pandas.,news,default,start,,,,,,
0,Experts testify before congress on illegal aliens.,news,default,start,,,,,,
0,White collar unemployment hits new level.,news,default,start,,,,,,
0,-Mitten vet appointment,sticky_note,default,start,,,,,,
0,-Call mom back,sticky_note,default,start,,,,,,
0,-Pay rent,sticky_note,default,start,,,,,,
0,-Trash day,sticky_note,default,start,,,,,,
0,"First day at a new job.
Try not to screw it up.",dream,default,start,,,,I really need the money.,,
0,"And I’m your automated helper, COGNI! 
I’m here to assist you!

Remember these simple directions:
Answer the questions quickly. 
Answer the questions accurately. 
Labelers with the high ratings/speed will receive incentive bonuses!",message,default,start,cogni,,,"Thanks, Cogni",Ugh. I hate AI.,
0,Here’s a practice run to get you started!,message,default,start,cogni,,,Here goes nothing...,,
0,Senator proposes ‘Resettlement Zone’ for alien migrants.,news,default,end,,,,,,
0,Got a tip? New hotline for alien identification is open now!,news,default,end,,,,,,
0,AI blamed for new white collar unemployment figures.,news,default,end,,,,,,
0,Congress tackles the question of alien rights.,news,default,end,,,,,,
0,Chef Tony’s wows DC diners!,news,default,end,,,,,,
0,Exclusive: celebrity weight loss secret.,news,default,end,,,,,,
0,Department of Defense continues privatization initiative.,news,default,end,,,,,,
0,That was fantastic! Keep up the great work!,message,good,end,cogni,,,Off to a great start!,,
0,"Your performance so far is average. Let's try to get those metrics up!
",message,neutral,end,cogni,,,Off to a rough start.,,
0,That wasn’t very good! Be sure to try your best! ,message,bad,end,cogni,,,Off to a rough start.,,
0,I'm having concerns about your choices. Try your best to align with our DataVille company values!,message,flag_dependent,end,cogni,,,,,ethical_event_flag_1
0,Your work is a great fit with our DataVilla company values!,message,flag_dependent,end,cogni,,,,,correct_event_flag_1
0,-Mitten vet appointment,sticky_note,default,end,,,,,,
0,-Call mom back,sticky_note,default,end,,,,,,
0,-Pay rent,sticky_note,default,end,,,,,,
0,-Trash day,sticky_note,default,end,,,,,,
0,Do you have strong career goals?,dream,default,end,,,,But I'm going to do my best!,I’ll muddle through for the money.,
0,This new job is tough.,dream,default,end,,,,But at least my boss seems cool!,Something is suspicious.,
0,I'm not sure how I feel about my company.,dream,default,end,,,,But at least my life is improving!,I feel hopeless.,
0,The world is going downhill.,dream,default,end,,,,,,
0,Back to work.,dream,default,end,,,,,,
