DAY,TEXT,TYPE,PERFORMANCE,TIME,SENDER,IMAGE_FOLDER,IMAGE,BUTTON_1_TEXT,BUTTON_2_TEXT,EVENT_FLAG
4,"Alex, your manager, has something to tell you.",message,default,end,cogni,,,Got it.,Ugh. Here we go…,
4,"I’m very excited to offer you a position as a permanent coordinator. Your attention to detail has proven to be a tremendous asset to the organization. 

Congratulations on your promotion!",message,good,end,supervisor,,,Time to call mom!,,
4,"I am excited to announce we will be transitioning to new, more robust methods of alien detection. Your dedication has been greatly appreciated. If you’d like to continue working with DataVille, please submit an application for our new position of:

Wrangler / Tagger

If your skills are a match, we’ll be sure to reach out.",message,neutral,end,supervisor,,,Time to find a new job!,,
4,"Dataville has decided to terminate your employment. Your performance metrics did not show adequate improvement. DataVille has frozen your pending payments per our policy.

Thank you for your understanding.",message,bad,end,supervisor,,,Time to move on!,,
4,Alien mothership arrives. Vows ‘reckoning!’,news,default,start,,tv_content/day4,1.png,,,
4,"Panic buying shuts down big box stores.",news,default,start,,tv_content/day4,2.png,,,
4,Economy tumbles on immigration concerns.,news,default,start,,tv_content/day4,3.png,,,
4,President invokes martial law to combat rioting.,news,good,start,,tv_content/day4,4-good.png,,,
4,Protests at Cleveland Zoo’s Alien Exhibit.,news,bad,start,,tv_content/day4,4-bad.png,,,
4,Religious leader says ‘the start is near!’,news,good,start,,tv_content/day4,5-good.png,,,
4,Detroit welcomes new visitors with ‘Space Festival.’,news,bad,start,,tv_content/day4,5-bad.png,,,
4,Beautiful celebrity exposed in alien love triangle.,news,default,start,,tv_content/day4,6.png,,,
4,Pack ASAP,sticky_note,bad,start,,,,,,
4,Thank you notes,sticky_note,good,start,,,,,,
4,Goodwill,sticky_note,bad,start,,,,,,
4,Buy crypto?,sticky_note,good,start,,,,,,
4,Follow-up (charity lawyer),sticky_note,bad,start,,,,,,
4,Home theater install,sticky_note,good,start,,,,,,
4,Job Apps,sticky_note,bad,start,,,,,,
4,New boots (fancy),sticky_note,good,start,,,,,,
4,stuff to sell,sticky_note,bad,start,,,,,,
4,Retirement planner meeting,sticky_note,good,start,,,,,,
